permit_number,case_type,case_name,sub_type,work,status,proposed_land_use,desc_of_proposed_development,final_date,status_date,application_start_date,approval_date,calendar_year_folder_created,zip_code,existing_no_of_lots,proposed_no_of_lots
1993-000177 C8,Subdivision,"DOANY RESIDENCES, THE",NA,NA,Closed,999,"DOANY RESIDENCES, THE",03/14/1994,10/28/2010 05:08:12 PM,09/30/1993,NA,1993,78731,NA,NA
1984-000122 C8,Subdivision,METRO CENTER SEC 6,Final Plat,Concurrent,Approved and Released,999,METRO CENTER SECTION 6,01/28/2009,01/28/2009 08:28:22 AM,03/23/1999,NA,1999,NA,NA,2
1992-000016 C8,Subdivision,ROBINSON RANCH STREET AND DRAINAGE,NA,NA,Approved and Released,999,ROBINSON RANCH STREET AND DRAINAGE,04/30/1992,03/02/2007 06:10:13 AM,02/25/1992,NA,1992,NA,NA,NA
1986-000024 C8,Subdivision,"AUSTIN AQUAPLEX, P.U.D.",NA,NA,Approved,"999, 999","AUSTIN AQUAPLEX, P.U.D.",NA,03/02/2007 06:10:13 AM,07/21/1986,NA,1986,NA,NA,NA
2004-Z233930 C8,Subdivision,"STANLEY P. FINCH SUBDIVISION, LOT 1 AND LOT 3, BLOCK A; AMENDED PLAT",Final Plat,Without Preliminary,Closed,SF,"STANLEY P. FINCH SUBDIVISION, LOT 1 AND LOT 3, BLOCK A; AMENDED PLAT",NA,03/02/2007 06:10:13 AM,NA,NA,NA,NA,NA,NA
1988-000022 C8,Subdivision,L.W.S. ADDITION NO. 4,NA,NA,Approved,999,L.W.S. ADDITION NO. 4,04/08/1988,03/02/2007 06:10:13 AM,03/17/1988,NA,1988,NA,NA,NA
1985-000105 C8,Subdivision,SENDERA 17C,Subdivision Construction Plan,Concurrent,Approved and Released,"999, 999, 999",SENDERA 17C,11/11/1997,03/17/2009 02:48:31 PM,07/31/1997,NA,1997,NA,NA,43
1993-000178 C8,Subdivision,ARK SUBDIVISION,NA,NA,Closed,999,ARK SUBDIVISION,01/17/1994,03/02/2007 06:10:13 AM,10/05/1993,NA,1993,NA,NA,NA
1993-000145 C8,Subdivision,BONE ADDITION,NA,NA,Approved,999,BONE ADDITION,11/29/1993,03/02/2007 06:10:13 AM,08/27/1993,NA,1993,NA,NA,NA
1987-000007 C8,Subdivision,PARKSTONE PUD,NA,NA,Approved and Released,"999, 999, 999, 999, 999",PARKSTONE PUD,NA,03/02/2007 06:10:13 AM,03/07/1994,NA,1994,NA,NA,NA
2000-002148 C8,Subdivision,FOUR POINTS CENTRE OUTPARCEL ONE (W/D & RESUBMITTAL),Final Plat,Previously Unplatted,Approved,NA,FOUR POINTS CENTRE OUTPARCEL ONE - WITHDRAWAL AND RESUBMITTAL,02/28/2001,03/10/2009 01:58:36 PM,07/06/2000,NA,2000,NA,NA,NA
1997-000008 C8,Subdivision,BARTON CREEK NORTH RIM,NA,NA,Approved,"999, 999",BARTON CREEK NORTH RIM,NA,03/02/2007 06:10:13 AM,01/24/1997,NA,1997,NA,NA,NA
1994-000145 C8,Subdivision,PAINTED BUNTING PHASE II,NA,NA,Approved,999,PAINTED BUNTING PHASE II,NA,03/02/2007 06:10:13 AM,10/02/1995,NA,1995,NA,NA,NA
1990-000034 C8,Subdivision,BEARD RANCH PHASE 1 - WITHDRAWN SEE C8-91-0006,NA,NA,Withdrawn,"999, 999, 999, 999",BEARD RANCH PHASE 1 - WITHDRAWN SEE C8-91-0006,08/12/1990,03/02/2007 06:10:13 AM,03/13/1990,NA,1990,NA,NA,NA
1982-000079 C8,Subdivision,"VILLAGE AT WALNUT CREEK PHASE 2, SEC 23 REVISED",NA,NA,Approved,999,"VILLAGE AT WALNUT CREEK PHASE 2, SEC 23 REVISED",02/23/1996,03/02/2007 06:10:13 AM,11/30/1995,NA,1995,NA,NA,NA
1994-000011 C8,Subdivision,RIVER TERRACE SECTION 2,Final Plat,Without Preliminary,Approved,"999, 999",RIVER TERRACE SECTION 2,NA,07/18/2007 02:11:31 PM,01/21/1994,NA,1994,NA,NA,3
1984-000020 C8,Subdivision,"COLDWATER P.U.D. SECTION III, PHASE A",NA,NA,Approved,999,"COLDWATER P.U.D. SECTION III, PHASE A",NA,03/02/2007 06:10:13 AM,06/27/1988,NA,1988,NA,NA,NA
1996-000096 C8,Subdivision,JOE AND RAMONA HAJJAR SUBDIVISION,NA,NA,Withdrawn,999,JOE AND RAMONA HAJJAR SUBDIVISION,NA,03/02/2007 06:10:13 AM,05/10/1996,NA,1996,NA,NA,NA
1993-000222 C8,Subdivision,SOUTHLAND OAKS PHASE I,NA,NA,Approved,"999, 999",SOUTHLAND OAKS PHASE I,05/24/1994,03/02/2007 06:10:13 AM,12/16/1993,NA,1993,NA,NA,NA
1990-000022 C8,Subdivision,WILDWOOD FARM,NA,NA,Approved,999,WILDWOOD FARM,02/28/1990,03/02/2007 06:10:13 AM,02/09/1990,NA,1990,NA,NA,NA
2007-125813 C,Subdivision Joint City/County,Avana Phase 1 Sec 3 (resubmittal of C8J-05-0231.3A),Final Plat,With Replat,Expired,NA,NA,NA,03/06/2008 08:00:30 PM,05/31/2007,NA,2007,NA,NA,24
1995-000300 C8,Subdivision,TRAVIS COUNTRY GREEN,NA,NA,Approved,"999, 999, 999, 999",TRAVIS COUNTRY GREEN,NA,03/02/2007 06:10:13 AM,12/19/1995,NA,1995,NA,NA,136
1985-000159 C8,Subdivision,BRODIE BUNCH NO. 1,Subdivision Vacation,With Replat,Approved,NA,BRODIE BUNCH NO. 1,09/05/2001,08/27/2009 11:17:59 AM,08/14/2001,NA,2001,NA,NA,NA
1985-000137 C8,Subdivision,H-P CORNER (WITHDRAWN & RESUBMITTED SEE C8-85-137.4A),NA,NA,Withdrawn,999,H-P CORNER (WITHDRAWN & RESUBMITTED SEE C8-85-137.4A),11/10/1997,03/02/2007 06:10:13 AM,08/22/1997,NA,1997,NA,NA,NA
1988-000074 C8,Subdivision,"RAYMONDS SUBDIVISION, RESUBDIVISION OF A PORTION OF BLOCK D",NA,NA,Approved,999,"RAYMONDS SUBDIVISION, RESUBDIVISION OF A PORTION OF BLOCK D",08/31/1988,03/02/2007 06:10:13 AM,08/15/1988,NA,1988,NA,NA,1
1993-000115 C8,Subdivision,SHADOWRIDGE CROSSING SECTION 11,NA,NA,Withdrawn,"999, 999",SHADOWRIDGE CROSSING SECTION 11,05/21/1999,03/02/2007 06:10:13 AM,11/10/1998,NA,1998,NA,NA,NA
2003-000025 C8,Subdivision,SHELDON 230 SEC 2 PHASE 1 (SMART HOUSING),Subdivision Construction Plan,NA,Approved and Released,"SF, ROW, 999",SHELDON 230 SEC 2 PHASE 1 (SMART HOUSING),02/11/2004,03/02/2007 06:10:13 AM,10/20/2003,NA,2003,NA,NA,NA
1993-000006 C8,Subdivision,BANCROFT WOODS,NA,NA,Approved and Released,"999, 999, 999",BANCROFT WOODS,NA,03/02/2007 06:10:13 AM,08/06/1993,NA,1993,NA,NA,NA
1985-000156 C8,Subdivision,LEGEND OAKS SECTION 8,NA,NA,Approved and Released,"999, 999, 999",LEGEND OAKS SECTION 8,03/29/1994,03/02/2007 06:10:13 AM,06/04/1993,NA,1993,NA,NA,NA
1978-000118 C8,Subdivision,WESTERN OAKS III-H,NA,NA,Approved,999,WESTERN OAKS III-H,02/11/1987,03/02/2007 06:10:13 AM,12/23/1986,NA,1986,NA,NA,NA
1993-000040 C8,Subdivision,EANES PLACE SUBDIVISION,NA,NA,Closed,999,EANES PLACE SUBDIVISION,NA,03/02/2007 06:10:13 AM,04/08/1994,NA,1994,NA,NA,NA
1984-000102 C8,Subdivision,LANTANA,NA,NA,Closed,"999, 999, 999, 999, 999",LANTANA,08/03/1988,03/02/2007 06:10:13 AM,08/02/1988,NA,1988,NA,NA,NA
2007-124080 C8,Subdivision,3204 MANCHACA RD Unit 1,Final Plat,Without Preliminary,Internet Pending,NA,NA,NA,05/24/2007 01:05:48 AM,05/24/2007,NA,2007,78704,NA,NA
1984-000122 C8,Subdivision,METRO CENTER,NA,NA,Closed,999,METRO CENTER,05/07/1996,03/02/2007 06:10:13 AM,03/13/1996,NA,1996,NA,NA,NA
2001-000140 C8,Subdivision,JEFFERSON AT PECAN PARK,Final Plat,Without Preliminary,Expired,NA,JEFFERSON AT PECAN PARK,09/06/2001,03/02/2007 06:10:13 AM,06/12/2001,NA,2001,NA,NA,NA
1995-000106 C8,Subdivision,SEVEN OAKS SECTION 4  *EXPIRED* (SEE C8-95-0106.2C),NA,NA,Expired,"999, 999",SEVEN OAKS SECTION 4  *EXPIRED* (SEE C8-95-0106.2C),NA,03/02/2007 06:10:13 AM,02/14/1997,NA,1997,NA,NA,NA
2013-118841 C,Subdivision Joint City/County,Aguilera Subdivision,Final Plat,Previously Unplatted,Expired,SF/Comm,NA,NA,12/29/2013 09:00:09 PM,11/13/2013,NA,2013,78617,NA,6
1997-000074 C8,Subdivision,"WELLS POINT COMMERCIAL SECTION 2, LOTS 3,4 & 5 , BLOCK C, AMENDED PLAT OF",NA,NA,Approved,999,"WELLS POINT COMMERCIAL SECTION 2, LOTS 3,4 & 5 , BLOCK C, AMENDED PLAT OF",NA,03/02/2007 06:10:13 AM,04/11/1997,NA,1997,NA,NA,NA
1986-000092 C8,Subdivision,SAN FELIPE GREEN,NA,NA,Withdrawn,"999, 999",SAN FELIPE GREEN,06/26/1986,03/02/2007 06:10:13 AM,05/16/1986,NA,1986,NA,NA,NA
2015-070757 C8,Subdivision,"Colorado Crossing IV, Section Six-B",Subdivision Construction Plan,Non-Concurrent,Subdivision Recorded,"SF, ROW",NA,NA,11/09/2015 02:42:54 PM,06/11/2015,11/09/2015,2015,NA,NA,60
1985-000134 C8,Subdivision,STEINER RANCH PHASE ONE SECTION 1-B,NA,NA,Approved,999,STEINER RANCH PHASE ONE SECTION 1-B,NA,03/02/2007 06:10:13 AM,12/09/1988,NA,1988,NA,NA,NA
1996-000029 C8,Subdivision,BARTON RIDGE SECTION III REPLAT,NA,NA,Approved,999,BARTON RIDGE SECTION III REPLAT,NA,03/02/2007 06:10:13 AM,02/26/1996,NA,1996,NA,NA,1
1992-000150 C8,Subdivision,WOODS OF WESTLAKE RENAISSANCE,Final Plat,With Preliminary,Approved,"999, 999",WOODS OF WESTLAKE RENAISSANCE,12/21/1992,01/13/2009 09:46:05 AM,11/20/1992,NA,1992,NA,NA,15
1986-000075 C8,Subdivision,WESTFIELD CENTER,NA,NA,Closed,999,WESTFIELD CENTER,01/08/1987,03/02/2007 06:10:13 AM,05/01/1986,NA,1986,NA,NA,NA
1996-000119 C8,Subdivision,COOK-WALDEN SUBDIVISION,Final Plat,Previously Unplatted,Approved,999,COOK-WALDEN SUBDIVISION,NA,04/17/2009 02:05:46 PM,06/19/1996,NA,1996,78660,NA,1
2015-064724 C8,Subdivision,Legends Way Section 5,Final Plat,With Preliminary,Subdivision Recorded,"SF, PUB, ROW",NA,06/01/2016,06/01/2016 03:25:46 PM,06/01/2015,06/01/2016,2015,NA,82,82
1988-000067 C8,Subdivision,COLLINWOOD WEST IV,NA,NA,Approved,999,COLLINWOOD WEST IV,08/02/1988,03/02/2007 06:10:13 AM,07/15/1988,NA,1988,NA,NA,NA
1995-000242 C8,Subdivision,ASHMUN ESTATE SUBDIVISION,Final Plat,Resubdivision,Approved,999,ASHMUN ESTATE SUBDIVISION,NA,05/08/2009 03:15:25 PM,09/13/1995,NA,1995,78703,NA,1
1995-000147 C8,Subdivision,"620 OAKS, RESUBDIVISION OF LOT 1 BLOCK B",Final Plat,Resubdivision,Withdrawn,999,"620 OAKS, RESUB OF LOT 1 BLOCK B",NA,02/24/2009 08:01:51 AM,07/07/1995,NA,1995,NA,NA,2
1980-000087 C8,Subdivision,SPICEWOOD AT BULLCREEK SECTION 4,NA,NA,Approved,999,SPICEWOOD AT BULLCREEK SECTION 4,08/31/1987,03/02/2007 06:10:13 AM,06/05/1987,NA,1987,NA,NA,59
2003-000181 C8,Subdivision,RIVERSIDE MEADOWS SEC 1,Preliminary Plan,Revised Preliminary,Withdrawn,"ROW, GRBL, SF",RIVERSIDE MEADOWS SECTION ONE,09/07/2004,07/17/2007 02:31:59 PM,08/19/2004,NA,2004,NA,NA,NA
1986-000077 C8,Subdivision,"WATERFORD ON LAKE TRAVIS, SECTION FOUR",Preliminary Plan,Revised Preliminary,Withdrawn,"SF, ROW, GRBL","WATERFORD ON LAKE TRAVIS, SECTION FOUR",09/20/2000,03/02/2007 06:10:13 AM,08/29/2000,NA,2000,NA,NA,NA
1985-000001 C8,Subdivision,WERKENTHIN SECTION THREE,Subdivision Construction Plan,NA,Approved and Released,"999, 999",WERKENTHIN SECTION THREE,03/01/2000,03/02/2007 06:10:13 AM,06/24/1999,NA,1999,NA,NA,NA
1985-000029 C8,Subdivision,DAVIS SPRING SECTION 8-E,Final Plat,With Preliminary,Approved,RET,DAVIS SPRING SECTION 8-E,03/10/2006,03/02/2007 06:10:13 AM,12/09/2005,NA,2005,NA,NA,1
1985-000070 C8,Subdivision,CANYON CREEK SECTION 23,Subdivision Construction Plan,NA,Approved and Released,"999, 999, 999",CANYON CREEK SECTION 23,01/17/2000,03/02/2007 06:10:13 AM,06/14/1999,NA,1999,NA,NA,NA
1984-000037 C8,Subdivision,"BARTON CREEK OFFICE PARK, PUD",NA,NA,Closed,"999, 999","BARTON CREEK OFFICE PARK, PUD",NA,03/02/2007 06:10:13 AM,01/21/1984,NA,1984,NA,NA,10
1995-000138 C8,Subdivision,"HILLS OF LAKEWAY PH 6, AMENDED PLAT OF LOTS 483 & 484",Final Plat,Amended Plat,Approved,999,"HILLS OF LAKEWAY, PHASE SIX LOTS 483 & 484        AMENDED PLAT",NA,01/16/2009 11:13:50 AM,06/27/1995,NA,1995,NA,NA,1
1984-000164 C8,Subdivision,"CIRCLE C, PHASE B SECTION 8",NA,NA,Closed,999,"CIRCLE C, PHASE B SECTION 8",06/21/1989,03/02/2007 06:10:13 AM,05/26/1989,NA,1989,NA,NA,1
1985-000017 C8,Subdivision,BHN SUBDIVISION,NA,NA,Approved,999,BHN SUBDIVISION,NA,10/28/2010 05:08:12 PM,08/29/1997,NA,1997,78730,NA,NA
1993-000115 C8,Subdivision,SHADOWRIDGE CROSSING,NA,NA,Closed,999,SHADOWRIDGE CROSSING,09/21/1996,03/02/2007 06:10:13 AM,07/16/1996,NA,1996,NA,NA,NA
1984-000140 C8,Subdivision,CARSON CREEK COMMERCIAL SUBDIVISION,NA,NA,Closed,999,CARSON CREEK COMMERCIAL SUBDIVISION,04/14/1998,03/02/2007 06:10:13 AM,08/08/1997,NA,1997,NA,NA,2
1981-000014 C8,Subdivision,JESTER POINT II SECTION 8 P.U.D.,NA,NA,Approved,999,JESTER POINT II SECTION 8 P.U.D.,11/20/1997,03/02/2007 06:10:13 AM,08/20/1997,NA,1997,NA,NA,NA
1978-000009 C8,Subdivision,HILL COUNTRY PHASE II-B,NA,NA,Closed,"999, 999",HILL COUNTRY PHASE II-B,09/03/1997,03/02/2007 06:10:13 AM,09/23/1996,NA,1996,NA,NA,NA
1983-000064 C8,Subdivision,"WALNUT CREEK CENTER, SECTION 4 (TOTALLY VACATED 10-5-93)",NA,NA,Closed,999,"WALNUT CREEK CENTER, SECTION 4 (TOTALLY VACATED 10-5-93)",11/21/1986,03/02/2007 06:10:13 AM,10/16/1986,NA,1986,NA,NA,4
1985-000106 C8,Subdivision,"SPRINGBROOK, PHASE F",NA,NA,Closed,999,"SPRINGBROOK, PHASE F",NA,03/02/2007 06:10:13 AM,12/05/1985,NA,1985,NA,NA,NA
1999-000098 C8,Subdivision,PARMER/LAKELINE SUBDIVISION,Final Plat,With Preliminary,Approved,999,PARMER/LAKELINE SUBDIVISION,10/04/1999,03/02/2007 06:10:13 AM,05/24/1999,NA,1999,NA,NA,NA
1990-000096 C8,Subdivision,"HILLS OF LAKEWAY PUD PH 9, AMENDED PLAT OF LOTS 923 & 924",Final Plat,Amended Plat,Expired,999,"HILLS OF LAKEWAY PUD, PH. 9 LOTS 923/924 AMENDED  PLAT OF",09/21/1990,01/16/2009 10:01:07 AM,09/04/1990,NA,1990,NA,NA,2
1983-000029 C8,Subdivision,VILLAGE PARK 4 AT TRAVIS COUNTRY (W/D--SEE C8-83-029.06.2A),NA,NA,Withdrawn,999,VILLAGE PARK 4 AT TRAVIS COUNTRY (W/D--SEE C8-83-029.06.2A),02/03/1994,03/02/2007 06:10:13 AM,07/28/1993,NA,1993,NA,NA,NA
1994-000003 C8,Subdivision,CHERRY CREEK SECTION 17,NA,NA,Closed,"999, 999, 999",CHERRY CREEK SECTION 17,02/20/1995,03/02/2007 06:10:13 AM,10/04/1994,NA,1994,NA,NA,NA
1981-000022 C8,Subdivision,GREAT HILLS SECTION 32,NA,NA,Approved,"999, 999, 999",GREAT HILLS SECTION 32,06/25/1998,03/02/2007 06:10:13 AM,03/06/1998,NA,1998,NA,NA,NA
1986-000124 C8,Subdivision,"ROB ROY ON THE CREEK, SECTION 4-A",NA,NA,Closed,999,"ROB ROY ON THE CREEK, SECTION 4-A",NA,03/02/2007 06:10:13 AM,10/14/1986,NA,1986,NA,NA,NA
1981-000031 C8,Subdivision,WEST RIM,NA,NA,Approved,"999, 999",WEST RIM,NA,03/02/2007 06:10:13 AM,08/14/1981,NA,1981,NA,NA,182
1981-000101 C8,Subdivision,BALCONES BLUFFS SECTION 1,NA,NA,Approved,999,BALCONES BLUFFS SECTION 1,10/31/1988,03/02/2007 06:10:13 AM,10/05/1988,NA,1988,NA,NA,NA
1995-000211 C8,Subdivision,STABLEWOOD AT SLAUGHTER CREEK SEC 5,Final Plat,With Preliminary,Approved,"SF, GRBL, ROW, PUB",STABLEWOOD AT SLAUGHTER CREEK SEC 5,03/02/2001,03/02/2007 06:10:13 AM,09/26/2000,NA,2000,NA,NA,93
1981-000216 C8,Subdivision,BRATTON LANE BUSINESS PARK,NA,NA,Approved,"999, 999",BRATTON LANE BUSINESS PARK,NA,03/02/2007 06:10:13 AM,10/26/1981,NA,1981,NA,NA,NA
1992-000213 C8,Subdivision,DAVIS HILL ESTATES SECTION TWO,NA,NA,Approved,999,DAVIS HILL ESTATES SECTION TWO,08/23/1997,03/02/2007 06:10:13 AM,06/10/1997,NA,1997,NA,NA,NA
1992-000024 C8,Subdivision,CALHOON'S CORNER TOO,Final Plat,Previously Unplatted,Approved,"999, 999","CALHOON'S CORNER, TOO",07/30/1993,12/05/2008 02:50:32 PM,02/28/1992,NA,1992,78754,NA,2
1986-000108 C8,Subdivision,"DECKER CREEK, PHASE 2",NA,NA,Closed,"999, 999, 999, 999, 999, 999","DECKER CREEK, PHASE 2",11/03/1986,03/02/2007 06:10:13 AM,09/30/1986,NA,1986,NA,NA,NA
1994-000062 C8,Subdivision,STEED'S RIDGE,NA,NA,Expired,999,STEED'S RIDGE,NA,03/02/2007 06:10:13 AM,03/28/1994,NA,1994,NA,NA,NA
1991-000144 C8,Subdivision,LACOSTE ADDITION,Final Plat,Resubdivision,Approved,999,LACOSTE ADDITION,01/02/1992,11/25/2008 01:53:11 PM,12/11/1991,NA,1991,78703,NA,2
1996-000217 C8,Subdivision,HILLCREST,NA,NA,Approved,999,HILLCREST,NA,03/02/2007 06:10:13 AM,10/17/1996,NA,1996,NA,NA,NA
1991-000037 C8,Subdivision,NORTH PARK SEC 4-B,NA,NA,Expired,999,NORTH PARK SEC 4-B,09/10/1991,03/02/2007 06:10:13 AM,04/02/1991,NA,1991,NA,NA,9
1998-000217 C8,Subdivision,TANGLEWILD ESTATES,Preliminary Plan,Preliminary,Approved,999,TANGLEWILD ESTATES,04/30/1999,03/02/2007 06:10:13 AM,12/29/1998,NA,1998,NA,NA,NA
1992-000005 C8,Subdivision,NORTHTOWN PARK SECTION 5,NA,NA,Approved and Released,"999, 999",NORTHTOWN PARK SECTION 5,NA,03/02/2007 06:10:13 AM,01/29/1993,NA,1993,NA,NA,NA
1987-000003 C8,Subdivision,STASSNEY HEIGHTS SOUTH (AKA LITTLE TEXAS PUD),NA,NA,Approved,999,STASSNEY HEIGHTS SOUTH (AKA LITTLE TEXAS PUD),07/08/1997,03/02/2007 06:10:13 AM,03/11/1997,NA,1997,NA,NA,NA
1981-000022 C8,Subdivision,GREAT HILLS PHASE B,NA,NA,Closed,999,GREAT HILLS PHASE B,NA,03/02/2007 06:10:13 AM,05/27/1988,NA,1988,NA,NA,NA
1986-000042 C8,Subdivision,"PADDOCK AT COMMONS FORD, THE",NA,NA,Approved,"999, 999, 999","PADDOCK AT COMMONS FORD, THE",10/14/1993,03/02/2007 06:10:13 AM,07/06/1993,NA,1993,NA,NA,NA
1997-000211 C8,Subdivision,"ESTATES OF BRENTWOOD, BLOCK A, LOT 2 AMENDED PLAT",NA,NA,Approved,999,"ESTATES OF BRENTWOOD, BLOCK A, LOT 2 AMENDED PLAT",NA,03/02/2007 06:10:13 AM,09/10/1997,NA,1997,NA,NA,NA
1983-000068 C8,Subdivision,RIVER PLACE SECTION 8,NA,NA,Approved,"999, 999, 999",RIVER PLACE SECTION 8,02/06/1995,03/02/2007 06:10:13 AM,08/04/1994,NA,1994,NA,NA,NA
1988-000087 C8,Subdivision,13409 RESEARCH ADDITION,NA,NA,Expired,999,13409 RESEARCH ADDITION,10/10/1988,03/02/2007 06:10:13 AM,09/21/1988,NA,1988,NA,NA,NA
1996-000269 C8,Subdivision,MACONDA PARK WEST,NA,NA,Approved,999,MACONDA PARK WEST,NA,03/02/2007 06:10:13 AM,12/26/1996,NA,1996,NA,NA,3
1993-000170 C8,Subdivision,ISLAND ON WESTLAKE,NA,NA,Approved,"999, 999, 999",ISLAND ON WESTLAKE,08/18/1994,03/02/2007 06:10:13 AM,09/21/1993,NA,1993,NA,NA,NA
2003-000136 C8,Subdivision,BOLM ROAD ACRES (SMART HOUSING),Subdivision Construction Plan,NA,Approved and Released,"SF, SF",BOLM ROAD ACRES (SMART HOUSING),02/26/2004,03/02/2007 06:10:13 AM,08/25/2003,NA,2003,NA,NA,NA
1991-000133 C8,Subdivision,HIGH SIERRA OAKS,NA,NA,Approved and Released,999,HIGH SIERRA OAKS,03/16/1993,03/02/2007 06:10:13 AM,01/29/1993,NA,1993,NA,NA,NA
1993-000228 C8,Subdivision,HIGHLAND HILLS,NA,NA,Expired,999,HIGHLAND HILLS,05/25/1994,03/02/2007 06:10:13 AM,12/22/1993,NA,1993,NA,NA,NA
