incident_number,highest_offense_description,family_violence,occurred_date,zip_code,council_district,census_tract,clearance_status,category_description
20051790461,BURGLARY NON RESIDENCE,N,06/27/2005,78753,4,18,NA,Burglary
20112300197,PUBLIC INTOXICATION,N,08/18/2011,78701,9,11,C,NA
20095042239,BURGLARY OF VEHICLE,N,07/27/2009,78704,9,NA,N,Theft
20115000212,THEFT OF BICYCLE,N,01/02/2011,78703,10,16,N,Theft
20032771119,ASSAULT W/INJURY-FAM/DATE VIOL,Y,10/04/2003,78758,4,NA,N,NA
20142370990,BURGLARY OF RESIDENCE,N,08/10/2014,78741,9,NA,N,Burglary
20112490149,DWI,N,09/06/2011,78745,3,NA,C,NA
20073310795,AUTO THEFT,N,11/27/2007,78744,2,24.3,NA,Auto Theft
20071681918,DISTURBANCE - OTHER,N,06/17/2007,78724,1,22,N,NA
20191040292,ASSAULT BY CONTACT FAM/DATING,Y,04/14/2019,78745,2,NA,N,NA
20152331012,FAMILY DISTURBANCE/PARENTAL,N,08/21/2015,78705,9,6.03,N,NA
20121601612,ASSAULT BY CONTACT,N,06/08/2012,78724,1,NA,NA,NA
20065043844,BURGLARY OF RESIDENCE,N,08/20/2006,78758,4,NA,NA,Burglary
20065057796,THEFT,N,10/30/2006,78704,NA,1901,NA,Theft
2006891169,ASSAULT ON PUBLIC SERVANT,N,03/30/2006,78727,7,18.46,N,NA
20055061603,BURGLARY OF VEHICLE,N,11/28/2005,78727,6,17.85,NA,Theft
20065047598,RUNAWAY CHILD,N,09/08/2006,78704,9,23.08,N,NA
20113480786,BURGLARY OF RESIDENCE,N,12/14/2011,78753,4,18.06,N,Burglary
20042822135,TERRORISTIC THREAT,N,10/08/2004,78748,5,17.46,NA,NA
20171311889,DWI 2ND,N,05/11/2017,78753,7,18.39,C,NA
20192880697,AGG ASSAULT,N,10/15/2019,78723,1,21.13,C,Aggravated Assault
20082370877,WARRANT ARREST NON TRAFFIC,N,08/24/2008,78702,1,NA,C,NA
20155050795,BURGLARY OF VEHICLE,N,11/18/2015,78753,4,18.33,N,Theft
20095002798,THEFT,N,01/12/2009,78704,9,14.01,N,Theft
20121641742,BURGLARY OF VEHICLE,N,06/12/2012,78757,7,18.17,N,Theft
20062831190,CRIMINAL TRESPASS,N,10/10/2006,78741,3,23.15,C,NA
20155024357,THEFT,N,06/06/2015,78721,1,21,N,Theft
20083072419,CRIMINAL MISCHIEF,N,11/02/2008,78702,3,10,NA,NA
20115023673,CRED CARD ABUSE - OTHER,N,05/11/2011,78759,10,NA,N,NA
20131960244,DWI,N,07/15/2013,78748,5,24,C,NA
20151090444,FAMILY DISTURBANCE,N,04/19/2015,78729,6,204.08,N,NA
20105027798,THEFT BY SHOPLIFTING,N,05/30/2010,78745,2,24.22,N,Theft
2007480676,FAMILY DISTURBANCE,N,02/17/2007,78757,7,15.05,NA,NA
20115022871,CRED CARD ABUSE BY FORGERY,N,05/06/2011,78705,10,2,N,NA
2018200058,RAPE,Y,01/20/2018,78741,9,14.03,C,Rape
20143430032,WARRANT ARREST NON TRAFFIC,N,12/09/2014,78744,2,NA,C,NA
20115011552,ASSAULT BY CONTACT,N,03/06/2011,78751,9,2,N,NA
20092021815,LIQUOR LAW VIOLATION/OTHER,N,07/21/2009,78745,2,24,C,NA
20062270593,VOCO AMPLIFIED MUSIC/VEHICLE,N,08/15/2006,78702,3,9,N,NA
20122401052,PUBLIC INTOXICATION,N,08/27/2012,78752,4,15.03,C,NA
20075045728,BURGLARY OF VEHICLE,N,08/28/2007,78705,9,4.01,NA,Theft
2018930099,AUTO THEFT,N,04/03/2018,78731,10,17.18,N,Auto Theft
20195042515,CRIMINAL MISCHIEF,N,10/09/2019,78731,10,17.18,N,NA
20162471647,CRIMINAL MISCHIEF,N,09/03/2016,78721,1,NA,N,NA
2007292102,POSSESSION OF MARIJUANA,N,01/29/2007,78741,3,23.16,C,NA
20095058017,BURGLARY OF RESIDENCE,N,10/09/2009,78724,1,22.02,N,Burglary
20082161433,EVADING VEHICLE,N,08/03/2008,78753,4,NA,NA,NA
2014190168,DISTURBANCE - OTHER,N,01/19/2014,78701,9,NA,N,NA
20075019285,THEFT,N,04/18/2007,78751,4,21.05,O,Theft
2009611558,CRIMINAL MISCHIEF,N,03/02/2009,78748,2,24.21,N,NA
2004610144,PUBLIC INTOXICATION,N,03/01/2004,78736,8,17.69,C,NA
20102631407,DOC ABUSIVE LANGUAGE,N,09/20/2010,78752,4,18.12,N,NA
20215003627,IDENTITY THEFT,N,01/14/2021,78722,9,NA,NA,NA
20163010226,BURGLARY OF RESIDENCE,N,10/27/2016,78753,4,18.33,N,Burglary
20141311782,FAMILY DISTURBANCE/PARENTAL,N,05/11/2014,78758,7,18.5,N,NA
200911121,FAMILY DISTURBANCE,N,01/01/2009,78704,9,13.05,N,NA
20115014895,THEFT OF BICYCLE,N,03/02/2011,78744,2,24.27,N,Theft
20152451838,AUTO THEFT,N,09/02/2015,78723,1,NA,N,Auto Theft
20095062036,BURGLARY OF RESIDENCE,N,11/02/2009,78754,1,18.42,N,Burglary
20071141117,SUSPICIOUS PERSON,N,04/24/2007,78749,8,17.76,NA,NA
20041851971,FAMILY DISTURBANCE,N,07/04/2004,78744,2,24.11,N,NA
20111551623,FAMILY DISTURBANCE,N,06/04/2011,78750,6,NA,NA,NA
20173350401,VIOL CITY ORDINANCE - DOG,N,11/30/2017,78748,5,24.07,N,NA
201680145,PUBLIC INTOXICATION,N,01/08/2016,78701,9,NA,C,NA
2003920561496,DISTURBANCE - OTHER,N,02/25/2003,78704,5,13.03,N,NA
20061351895,FAMILY DISTURBANCE,N,05/15/2006,78721,1,21.09,NA,NA
20161100486,BURGLARY NON RESIDENCE,N,04/10/2016,78721,1,NA,N,Burglary
20191531225,ASSAULT WITH INJURY,N,06/02/2019,78705,9,4,C,NA
20125018986,FRAUD - OTHER,N,04/26/2012,78749,8,17.76,N,NA
2008172070,BURGLARY OF VEHICLE,N,01/17/2008,78751,4,21,NA,Theft
20091021012,FAMILY DISTURBANCE,N,04/12/2009,78745,2,24.22,NA,NA
20053601019,POSS OF ALCOHOL - AGE 17 TO 20,N,12/26/2005,78759,6,17.54,NA,NA
20082831209,VIOL CITY ORDINANCE - OTHER,N,10/09/2008,78741,3,23,C,NA
20085036860,BURGLARY OF VEHICLE,N,07/16/2008,78753,7,18.26,NA,Theft
2017300109,FAMILY DISTURBANCE,N,01/30/2017,78741,3,23.13,N,NA
20125051108,BURGLARY OF VEHICLE,N,11/15/2012,78701,9,7,N,Theft
20071031828,THEFT,N,04/13/2007,78759,7,18.29,C,Theft
20151720730,RAPE,N,06/21/2015,78704,9,13.05,N,Rape
2017961226,FAMILY DISTURBANCE,N,04/06/2017,78753,4,18.23,NA,NA
20032400126,CRIMINAL MISCHIEF,N,08/28/2003,78745,2,NA,NA,NA
2012171605,CRIMINAL MISCHIEF,N,01/17/2012,78753,4,18.13,N,NA
20185011768,BURGLARY OF VEHICLE,N,03/29/2017,78757,7,18.17,N,Theft
20165015687,VIOL OF EMERG PROTECTIVE ORDER,N,03/18/2016,78729,6,NA,N,NA
20191750316,BURGLARY NON RESIDENCE,N,06/24/2019,78753,4,18,N,Burglary
2010261828,VOCO SOLICITATION PROHIBIT,N,01/26/2010,78756,10,2.04,C,NA
20151542150,FAMILY DISTURBANCE/PARENTAL,N,06/03/2015,78750,6,204.05,NA,NA
2014730466,RAPE,Y,03/14/2014,78741,3,23.14,O,Rape
2017630745,ASSAULT WITH INJURY,N,03/04/2017,78704,9,13,N,NA
20071131468,RUNAWAY CHILD,N,04/23/2007,78758,4,18.2,N,NA
20202791058,THEFT,Y,10/05/2020,NA,NA,NA,N,Theft
2004391122,THEFT BY SHOPLIFTING,N,02/08/2004,78704,5,20,NA,Theft
20105007418,THEFT BY EMBEZZLEMENT,N,01/01/2009,78757,7,NA,N,NA
2006880247,ASSAULT W/INJURY-FAM/DATE VIOL,Y,03/28/2006,78745,2,24.22,O,NA
20161890228,CRIMINAL MISCHIEF,N,07/07/2016,78723,1,21.07,N,NA
2009641899,BURGLARY OF RESIDENCE,N,03/05/2009,78704,9,13,N,Burglary
20173031405,POSS OF DRUG PARAPHERNALIA,N,10/30/2017,78723,1,21.12,N,NA
20106901307,PROSTITUTION,N,06/23/2010,78704,9,13,NA,NA
20111851073,PUBLIC INTOXICATION,N,07/04/2011,78702,3,NA,C,NA
20115005456,THEFT,N,01/28/2011,78701,9,11,N,Theft
20195049653,BURGLARY OF VEHICLE,N,12/03/2019,78759,10,NA,N,Theft
20131041592,DWI,N,04/14/2013,78701,9,11,C,NA
20111060428,ASSAULT WITH INJURY,N,04/16/2011,78702,3,NA,N,NA
2010570143,FAMILY DISTURBANCE,N,02/26/2010,78723,9,3.06,N,NA
20091360451,POSSESSION OF MARIJUANA,N,05/16/2009,78752,4,18.12,C,NA
2006230821,THEFT,N,01/23/2006,78704,3,13,NA,Theft
2005490330,THEFT OF AUTO PARTS,N,02/18/2005,78729,6,204,NA,Theft
20105064692,BURGLARY OF VEHICLE,N,12/05/2010,78704,3,NA,N,Theft
20122371436,BURGLARY NON RESIDENCE,N,08/24/2012,78703,10,16.03,N,Burglary
20031700287,CUSTODY ARREST TRAFFIC WARR,N,06/19/2003,78704,9,13,C,NA
2018782179,FAMILY DISTURBANCE,N,03/19/2018,78753,7,NA,N,NA
2003924185403,BURGLARY OF VEHICLE,N,04/09/2003,78751,9,3.04,N,Theft
20082420868,AUTO THEFT,N,08/28/2008,78758,7,18.45,NA,Auto Theft
2003924852839,BURGLARY OF VEHICLE,N,05/24/2003,78753,4,18,N,Theft
2003921620103,AUTO THEFT,N,06/11/2003,78704,5,19.01,N,Auto Theft
2006930151,BURGLARY OF VEHICLE,N,04/03/2006,78758,4,18.45,NA,Theft
2003924889293,CRIMINAL MISCHIEF,N,04/07/2003,78753,4,18,N,NA
20085029277,BURGLARY OF VEHICLE,N,06/01/2008,78705,9,6,NA,Theft
20075002506,BURGLARY OF VEHICLE,N,01/16/2007,78751,9,NA,NA,Theft
20102662184,POSS CONTROLLED SUB/NARCOTIC,N,09/23/2010,78741,3,23.18,C,NA
20181871787,DWI,N,07/06/2018,78758,7,18.49,C,NA
20115034982,ASSAULT BY CONTACT,N,07/21/2011,78751,9,2,N,NA
20101570678,WARRANT ARREST NON TRAFFIC,N,06/06/2010,78750,6,NA,C,NA
20145056670,CRIMINAL MISCHIEF,N,12/27/2014,78723,1,21.05,N,NA
20105000941,BURGLARY OF RESIDENCE,N,12/14/2009,78617,2,23.1,N,Burglary
20111591763,AGG ASSAULT,N,06/08/2011,78751,9,NA,C,Aggravated Assault
2018201300,DWI 2ND,N,01/20/2018,78721,1,NA,C,NA
20042731237,CUSTODY ARREST TRAFFIC WARR,N,09/29/2004,78704,5,19,NA,NA
2006851465,ASSAULT W/INJURY-FAM/DATE VIOL,Y,03/26/2006,78752,4,18.12,NA,NA
20095072531,BURGLARY OF COIN-OP MACHINE,N,12/29/2009,78744,2,24.3,N,Theft
20161051455,ASSAULT W/INJURY-FAM/DATE VIOL,Y,04/14/2016,78744,2,24.31,C,NA
20055008830,BURGLARY OF RESIDENCE,N,02/22/2005,78758,4,18.2,NA,Burglary
20032151436,WARRANT ARREST NON TRAFFIC,N,08/03/2003,78701,1,NA,C,NA
20052511258,VIOL CITY ORDINANCE - OTHER,N,09/08/2005,78701,9,NA,C,NA
20103220568,BURGLARY OF COIN-OP MACHINE,N,11/18/2010,78701,9,11,C,Theft
20133071280,FAMILY DISTURBANCE,N,11/03/2013,78741,3,23.13,NA,NA
20122291162,FALSE ALARM OR REPORT,N,08/16/2012,78701,9,NA,N,NA
20143440757,THEFT,N,12/10/2014,78753,4,18.13,C,Theft
20218002009,BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,N,03/09/2021,78751,9,3,N,Burglary
20202071376,FAMILY DISTURBANCE,N,07/25/2020,78759,10,NA,N,NA
20195025873,BURGLARY OF VEHICLE,N,06/20/2019,78758,4,18.19,N,Theft
20111082040,FAMILY DISTURBANCE,N,04/18/2011,78723,1,21.07,NA,NA
20105061480,BURGLARY OF RESIDENCE,N,11/18/2010,78744,2,NA,N,Burglary
20052061854,PUBLIC INTOXICATION,N,07/25/2005,78757,7,18.17,C,NA
2005571864,FAMILY DISTURBANCE,N,02/26/2005,78726,6,NA,N,NA
20165036902,PROTECTIVE ORDER,N,09/06/2016,NA,NA,NA,N,NA
20051720844,PUBLIC INTOXICATION,N,06/21/2005,78751,9,NA,NA,NA
20185043010,BURGLARY OF VEHICLE,N,10/18/2018,78753,4,18.33,N,Theft
2010512030,POSSESSION OF MARIJUANA,N,02/20/2010,78653,1,NA,C,NA
20045035873,BURGLARY OF VEHICLE,N,07/27/2004,78749,8,17.77,NA,Theft
20112060849,ASSAULT WITH INJURY,N,07/25/2011,78702,1,NA,O,NA
20062920222,FAMILY DISTURBANCE,N,10/19/2006,78758,7,NA,C,NA
20135006920,ONLINE IMPERSONATION,N,12/10/2012,78753,4,NA,O,NA
20171130818,ASSAULT BY CONTACT,N,04/23/2017,78617,2,NA,N,NA
20181631747,TERRORISTIC THREAT,N,06/12/2018,78753,1,18.35,C,NA
20202720068,DWI  .15 BAC OR ABOVE,N,09/28/2020,78724,1,22,C,NA
2008661095,WARRANT ARREST NON TRAFFIC,N,03/06/2008,78757,7,18.18,NA,NA
20105030650,CRED CARD ABUSE BY FORGERY,N,06/12/2010,78704,5,13.03,N,NA
20165005768,THEFT FROM AUTO,N,02/08/2016,78753,1,18.35,N,Theft
2011672417,CRIMINAL MISCHIEF,N,03/08/2011,78745,5,17.28,N,NA
20205001162,ASSAULT BY CONTACT,N,01/03/2020,78731,10,NA,N,NA
20105050901,THEFT OF METAL,N,09/23/2010,78744,2,NA,N,Theft
20072611544,ASSAULT WITH INJURY,N,09/18/2007,78748,2,24.22,N,NA
2003921190061,DUI - AGE 17 TO 20,N,04/29/2003,78744,2,24.11,N,NA
20181991868,RUNAWAY CHILD,N,07/18/2018,78748,5,NA,N,NA
20121390029,THEFT BY SHOPLIFTING,N,05/18/2012,78741,3,23,C,Theft
20135002150,AGG SEXUAL ASSAULT CHILD/OBJEC,Y,01/15/2003,78754,1,18.34,N,Rape
20145044300,INJURY DISABLED INDIVIDUAL,N,09/21/2014,78751,9,2,N,NA
20152081763,THEFT OF SERVICE,N,07/27/2015,78748,2,24.22,N,NA
20142510131,POSSESSION OF MARIJUANA,N,09/08/2014,78745,2,24.22,C,NA
20101151255,FAILURE TO IDENTIFY,N,04/25/2010,78753,7,18.24,C,NA
20065014125,BURGLARY NON RESIDENCE,N,03/18/2006,78724,NA,2201,NA,Burglary
20075064332,THEFT,N,11/17/2007,78741,3,NA,N,Theft
2013851449,RUNAWAY CHILD,N,03/25/2013,78617,2,NA,N,NA
20175048767,RETALIATION,N,11/29/2017,78741,3,23.12,N,NA
20051241109,AGG ASSAULT FAM/DATE VIOLENCE,Y,05/04/2005,78745,5,NA,C,Aggravated Assault
20071150345,CAMPING IN PARK,N,04/25/2007,78701,9,11,NA,NA
20161260147,WARRANT ARREST NON TRAFFIC,N,05/05/2016,78752,4,18,C,NA
2020500132,BURGLARY NON RESIDENCE,N,02/18/2020,78744,2,NA,N,Burglary
20033480736,CRIMINAL MISCHIEF,N,12/14/2003,78745,5,17.5,NA,NA
20095025283,THEFT,N,05/05/2009,78753,4,18,N,Theft
20191230848,BURGLARY OF VEHICLE,N,05/02/2019,78744,2,24.31,N,Theft
20045055681,THEFT,N,09/20/2004,78758,4,18,NA,Theft
20208002756,GRAFFITI,N,06/28/2020,78704,5,13,N,NA
20193381860,DWI,N,12/04/2019,78703,10,NA,C,NA
20095067943,SUSPICIOUS PERSON,N,10/25/2009,78746,8,19.1,N,NA
20091960022,AGG ROBBERY/DEADLY WEAPON,N,07/15/2009,78758,4,18,N,Robbery
20071532052,WARRANT ARREST NON TRAFFIC,N,06/02/2007,78701,9,11,C,NA
20085032698,RUNAWAY CHILD,N,06/23/2008,78721,1,21.11,N,NA
20151631912,POSSESSION OF MARIJUANA,N,06/12/2015,NA,NA,NA,NA,NA
20071321625,FAMILY DISTURBANCE,N,05/12/2007,78727,6,17.85,N,NA
2019720443,VIOL CITY ORDINANCE - OTHER,N,03/13/2019,78757,7,15.05,NA,NA
20131531190,DISTURBANCE - OTHER,N,06/02/2013,78721,1,21.11,N,NA
2003921090382,FAMILY DISTURBANCE,N,04/19/2003,78745,5,17.28,O,NA
20101652094,FAMILY DISTURBANCE,N,06/14/2010,78701,9,11,N,NA
20075002526,HARASSMENT,N,01/12/2007,78731,10,17.52,NA,NA
20095055740,THEFT,N,09/30/2009,78749,8,17.49,N,Theft
20201610142,DOC DISCHARGE GUN - PUB PLACE,N,06/09/2020,78744,2,24.27,N,NA
20043411436,THEFT,N,12/06/2004,78727,7,18.47,N,Theft
20061581791,CUSTODY ARREST TRAFFIC WARR,N,06/07/2006,78701,9,11,NA,NA
20153111253,FAMILY DISTURBANCE,N,11/07/2015,78721,3,21.11,N,NA
20175051182,ASSAULT WITH INJURY,N,12/02/2017,78705,9,6,N,NA
20065002206,BURGLARY OF VEHICLE,N,01/12/2006,78745,2,24,NA,Theft
2003920651915,POSSESSION OF MARIJUANA,N,03/06/2003,78741,3,NA,C,NA
20112492239,DWI,N,09/07/2011,78704,5,NA,NA,NA
20075015040,BURGLARY OF COIN-OP MACHINE,N,03/28/2007,78744,2,24.13,NA,Theft
20135041684,BURGLARY OF VEHICLE,N,09/10/2013,78749,8,NA,N,Theft
20145038465,THEFT,N,08/28/2014,78719,2,9800,N,Theft
20155047428,THEFT,N,09/25/2015,78745,2,24.02,C,Theft
2018180256,FAMILY DISTURBANCE,N,01/18/2018,78721,1,21.11,N,NA
20191130818,FRAUD - OTHER,N,04/17/2019,78759,10,17.06,N,NA
20073001777,ASSAULT W/INJURY-FAM/DATE VIOL,Y,10/27/2007,78724,1,NA,C,NA
20081640052,RESISTING ARREST OR SEARCH,N,06/12/2008,78752,1,18.11,NA,NA
20111031852,FAMILY DISTURBANCE,N,04/13/2011,78756,7,NA,N,NA
20085044120,BURGLARY OF VEHICLE,N,08/21/2008,78759,10,25,NA,Theft
20161491147,PUBLIC INTOXICATION,N,05/28/2016,78701,9,11,C,NA
2019991226,THEFT,N,04/09/2019,78702,3,8,C,Theft
20092580681,CUSTODY ARREST TRAFFIC WARR,N,09/15/2009,78758,4,18,C,NA
20112671273,THEFT,N,09/24/2011,78753,4,18.13,C,Theft
20172420263,CUSTODY ARREST TRAFFIC WARR,N,08/30/2017,78748,5,NA,NA,NA
2012930058,FAMILY DISTURBANCE,N,04/02/2012,78703,10,16.02,N,NA
20103350931,VIOL CITY ORDINANCE - CURFEW,N,12/01/2010,78723,1,NA,C,NA
20105040611,THEFT FROM BUILDING,N,08/03/2010,78758,7,18.49,N,Theft
20145050267,INDECENCY WITH A CHILD/CONTACT,N,10/29/2014,78702,1,8.03,N,NA
20085050198,CRIMINAL MISCHIEF,N,09/21/2008,78727,6,17.86,NA,NA
20185047789,DEBIT CARD ABUSE,N,10/26/2018,78717,6,203.11,N,NA
20115010463,CRIMINAL MISCHIEF,N,02/26/2011,78757,7,NA,N,NA
20141842213,BURGLARY OF VEHICLE,N,07/03/2014,78759,10,25,N,Theft
20055024623,THEFT,N,05/19/2005,78705,9,6.01,NA,Theft
2003920890482,FAMILY DISTURBANCE,N,03/30/2003,78704,9,23.08,N,NA
20191491395,THEFT,N,05/29/2019,78660,7,18.4,C,Theft
20142190959,VIOL CITY ORDINANCE - OTHER,N,08/07/2014,78701,9,11,NA,NA
20205030861,CHILD CUSTODY INTERFERE,N,08/07/2020,78758,4,18.21,N,NA
20043011774,DWI,N,10/27/2004,78745,5,NA,C,NA
2018640443,AUTO THEFT,N,02/14/2018,78745,2,24.22,N,Auto Theft
20181130525,FAMILY DISTURBANCE,N,04/23/2018,78748,2,NA,N,NA
20192261547,HARASSMENT,Y,08/14/2019,78744,5,24.25,N,NA
20151891501,FAMILY DISTURBANCE,N,07/08/2015,78753,4,18.13,N,NA
20042290856,URINATING IN PUBLIC PLACE,N,08/16/2004,78702,3,NA,C,NA
2004500685,CRIMINAL TRESPASS,N,02/19/2004,78702,3,NA,C,NA
20071260160,CRIMINAL MISCHIEF,N,05/06/2007,78705,9,NA,N,NA
20152410956,CUSTODY ARREST TRAFFIC WARR,N,08/29/2015,78702,3,9,C,NA
20062901283,ASSAULT W/INJURY-FAM/DATE VIOL,Y,10/17/2006,78723,4,21.04,C,NA
2005651583,FELONY ENHANCEMENT/ASSLT W/INJ,Y,03/06/2005,78745,5,17.13,C,NA
20133601228,THEFT BY SHOPLIFTING,N,12/26/2013,78727,7,NA,C,Theft
2003921090041,ROBBERY BY THREAT,N,04/19/2003,78745,5,17.5,N,Robbery
20101701620,THEFT,N,06/19/2010,78704,5,13.03,N,Theft
20093000233,THEFT FROM AUTO,N,10/27/2009,78724,1,22.02,N,Theft
20182480319,AUTO THEFT,N,09/05/2018,78729,6,NA,N,Auto Theft
20085043592,THEFT,N,08/19/2008,78744,2,24.29,NA,Theft
20172441412,ASSAULT W/INJURY-FAM/DATE VIOL,Y,09/01/2017,78704,5,20.04,C,NA
20205010029,CRIMINAL MISCHIEF,N,03/07/2020,78729,6,NA,N,NA
20092921128,AUTO THEFT,N,10/19/2009,78704,5,NA,N,Auto Theft
20132961351,DISTURBANCE - OTHER,N,10/23/2013,78745,2,24.09,N,NA
20102150960,FAMILY DISTURBANCE,N,08/03/2010,78749,8,17.77,NA,NA
2003921370687,ASSAULT BY CONTACT,N,05/17/2003,78752,4,NA,N,NA
2014551632,VIOL STATE LAW - OTHER,N,02/24/2014,78741,3,23.14,C,NA
2012741169,CRED CARD ABUSE - OTHER,N,03/14/2012,78721,1,NA,O,NA
20053492127,SUSPICIOUS PERSON,N,12/15/2005,78741,3,23.04,NA,NA
20201241340,CRIMINAL TRESPASS,N,05/03/2020,78753,4,18.23,N,NA
2015931415,ASSAULT W/INJURY-FAM/DATE VIOL,Y,04/03/2015,78745,2,24,O,NA
20075026671,BURGLARY OF VEHICLE,N,05/28/2007,78753,7,18.48,NA,Theft
20042920301,CUSTODY ARREST TRAFFIC WARR,N,10/18/2004,78750,10,17.16,C,NA
20062002033,AUTO THEFT,N,07/19/2006,78753,4,NA,NA,Auto Theft
20085024186,THEFT,N,05/11/2008,78731,10,17.52,NA,Theft
20055038519,THEFT,N,07/27/2005,78613,6,203.18,O,Theft
20141491726,FAMILY DISTURBANCE,N,05/29/2014,78727,7,NA,C,NA
20055004470,DEL CONTROLLED SUB/NARCOTIC,N,01/26/2005,78756,7,NA,NA,NA
20142450202,DWI,N,09/02/2014,78701,9,NA,NA,NA
20185037632,BURGLARY OF VEHICLE,N,09/21/2018,78717,6,203.11,N,Theft
20065007160,NUISANCE ABATEMENT,N,02/08/2006,78723,1,21,NA,NA
20075051472,BURGLARY OF VEHICLE,N,09/26/2007,78705,9,2.04,NA,Theft
20105019763,CRIMINAL MISCHIEF,N,04/16/2010,78726,6,17.65,N,NA
201060433,CUSTODY ARREST TRAFFIC WARR,N,01/06/2010,78704,3,NA,C,NA
200421524,PUBLIC INTOXICATION,N,01/02/2004,78752,4,15,C,NA
20121181541,CRIMINAL MISCHIEF,N,04/27/2012,78741,3,NA,NA,NA
20111380223,FAMILY DISTURBANCE,N,05/18/2011,78722,9,4,NA,NA
20061492130,ASSAULT W/INJURY-FAM/DATE VIOL,Y,05/29/2006,78758,7,18.5,C,NA
20125002462,THEFT BY SHOPLIFTING,N,01/14/2012,78759,7,17.53,C,Theft
20121380971,THEFT OF SERVICE,N,05/17/2012,78741,3,NA,N,NA
20175037874,IDENTITY THEFT,N,09/08/2017,78731,10,1.02,N,NA
2008241616,RUNAWAY CHILD,N,01/24/2008,78704,5,NA,N,NA
2003924207541,BURGLARY OF VEHICLE,N,01/15/2003,78705,9,NA,N,Theft
20143001665,BURGLARY OF RESIDENCE,N,10/27/2014,78748,5,17.47,N,Burglary
20205039893,THEFT,N,10/04/2020,78724,1,22,N,Theft
20135014904,IDENTITY THEFT,N,02/01/2013,78741,3,23.18,N,NA
20032540948,AUTO THEFT,N,09/11/2003,78752,4,NA,NA,Auto Theft
2012311541,BURGLARY OF RESIDENCE,N,01/31/2012,78748,5,24.07,NA,Burglary
20035024715,THEFT,N,11/28/2003,78759,10,NA,NA,Theft
20142710615,WARRANT ARREST NON TRAFFIC,N,09/28/2014,78702,3,9,NA,NA
2007791154,CRIMINAL TRESPASS,N,03/20/2007,78723,4,NA,NA,NA
20131211078,SIT AND LIE ORDINANCE VIOL,N,05/01/2013,78701,9,11,C,NA
20145036085,CRIMINAL MISCHIEF,N,08/11/2014,78702,1,8.02,N,NA
2010672179,POSS OF DRUG PARAPHERNALIA,N,03/08/2010,78758,4,NA,C,NA
20192562336,ASSAULT W/INJURY-FAM/DATE VIOL,Y,09/14/2019,78744,2,24.11,C,NA
20086900089,DEL CONTROLLED SUB/NARCOTIC,N,03/18/2008,78702,3,NA,NA,NA
